time,cte,he,steering,h,clf_alpha,steering_kp
1782557445.0680976,0.1985,-0.4125,-0.0260,21.3552,0.2700,3.8420
1782557445.24685,0.0883,-0.3600,-0.0260,21.3295,0.2700,3.8420
1782557445.423705,-1.0297,-0.3333,-0.0149,21.5827,0.2700,3.8420
1782557445.595186,-1.0200,-0.2900,-0.0186,21.8159,0.2700,3.8420
1782557445.720496,-0.1786,-0.2730,0.0074,21.7168,0.2700,3.8420
1782557445.8372622,-0.4338,-0.2783,-0.0111,21.2854,0.2700,3.8420
1782557445.9665296,-0.0195,0.3908,-0.3417,21.4478,0.2700,3.8420
1782557446.124347,3.6293,0.8943,0.5609,10.1026,0.2700,3.8420
1782557446.316063,-29.3066,0.5575,-1.3000,12.9500,0.2700,3.8420
1782557446.4890335,-50.6684,0.2971,1.3000,6.3624,0.2700,3.8420
1782557446.6695156,-43.0128,0.3940,-1.3000,12.9482,0.2700,3.8420
1782557446.8410416,36.6302,1.4029,1.3000,4.8913,0.2700,3.8420
1782557447.0508263,-23.7527,0.5312,1.3000,4.2790,0.2700,3.8420
1782557447.2193012,27.0304,1.2194,-0.9026,8.5173,0.2700,3.8420
1782557447.3699217,-22.0505,0.4377,0.9546,3.8444,0.2700,3.8420
1782557447.5510292,16.0193,0.9943,-1.0066,7.3582,0.2700,3.8420
1782557447.710581,-10.8138,0.5188,-0.6314,6.1585,0.2700,3.8420
1782557448.002479,-5.7653,0.5289,-0.3343,5.2142,0.2700,3.8420
1782557448.2160795,-3.6349,0.4973,0.2043,3.9535,0.2700,3.8420
1782557448.4035258,-1.0928,0.4751,0.1114,3.7187,0.2700,3.8420
1782557448.5605288,0.1707,0.4668,0.0074,3.5866,0.2700,3.8420
1782557448.7280753,0.1164,0.4066,-0.0074,3.3895,0.2700,3.8420
1782557448.9086049,1.3990,0.3784,0.0594,2.9836,0.2700,3.8420
1782557449.070518,1.1571,0.3263,0.0111,2.8251,0.2700,3.8420
1782557449.2599647,-0.0452,0.2807,-0.0149,2.6173,0.2700,3.8420
1782557449.4268527,0.1357,0.2447,0.0297,2.4309,0.2700,3.8420
1782557449.604738,0.1364,0.2104,0.0260,2.2094,0.2700,3.8420
1782557449.782677,0.6570,0.1916,0.0186,2.0609,0.2700,3.8420
1782557449.9872987,0.5398,0.1636,0.0149,1.8778,0.2700,3.8420
1782557450.1452227,0.2199,0.1456,0.0111,1.7882,0.2700,3.8420
1782557450.3278522,0.1580,0.1241,-0.0037,1.6883,0.2700,3.8420
1782557450.4813042,0.0664,0.1048,-0.0037,1.5869,0.2700,3.8420
1782557450.6284978,0.1866,0.0997,-0.0074,1.5503,0.2700,3.8420
1782557450.7939942,0.0924,0.0840,0.0037,1.4508,0.2700,3.8420
1782557450.9736588,0.0252,0.0706,-0.0037,1.3868,0.2700,3.8420
1782557451.1528392,0.0480,0.0608,0.0074,1.3377,0.2700,3.8420
